Study Name,Quadra St & View St
Project,2025 TMC Collection Program
Project Code,
Legs and Movements,All Processed Legs & Movements
Bin Size,1 hour
Time Zone,America/Vancouver
Start Time,2025-01-30 07:00:00
End Time,2025-01-30 18:00:00
Location,Quadra St & View St
Latitude and Longitude,"48.424824,-123.359531"
,
AM Peak,8 AM - 9 AM (0.967)
Midday Peak,12:30 PM - 1:30 PM (0.892)
PM Peak (Overall Peak Hour),4 PM - 5 PM (0.976)
