Study Name,Johnson St & Pandora Ave 
Project,2025 TMC Collection Program
Project Code,
Legs and Movements,All Processed Legs & Movements
Bin Size,1 hour
Time Zone,America/Vancouver
Start Time,2025-02-20 07:00:00
End Time,2025-02-20 18:00:00
Location,Johnson St & Pandora Ave
Latitude and Longitude,"48.426739,-123.342625"
,
AM Peak,8 AM - 9 AM (0.986)
Midday Peak,12:30 PM - 1:30 PM (0.971)
PM Peak (Overall Peak Hour),4:15 PM - 5:15 PM (0.964)
