Study Name,Bay St & Douglas St
Project,2025 TMC Collection Program
Project Code,
Legs and Movements,All Processed Legs & Movements
Bin Size,1 hour
Time Zone,America/Vancouver
Start Time,2025-01-16 07:00:00
End Time,2025-01-16 18:00:00
Location,Bay St & Douglas St
Latitude and Longitude,"48.435712,-123.365457"
,
AM Peak,8 AM - 9 AM (0.983)
Midday Peak,11:30 AM - 12:30 PM (0.967)
PM Peak (Overall Peak Hour),4:15 PM - 5:15 PM (0.938)
