Study Name,Hillside Ave & Shelbourne St
Project,2025 TMC Collection Program
Project Code,
Legs and Movements,All Processed Legs & Movements
Bin Size,1 hour
Time Zone,America/Vancouver
Start Time,2025-01-25 00:00:00
End Time,2025-01-25 23:59:29.830000
Location,Hillside Ave & Shelbourne St
Latitude and Longitude,"48.44574,-123.333279"
,
AM Peak (WKND),10 AM - 11 AM (0.907)
Midday Peak (WKND),1 PM - 2 PM (0.978)
PM Peak (WKND) (Overall Peak Hour),1:15 PM - 2:15 PM (0.987)
