Study Name,North Dairy Ave & Shelbourne St
Project,2025 TMC Collection Program
Project Code,
Legs and Movements,All Processed Legs & Movements
Bin Size,1 hour
Time Zone,America/Vancouver
Start Time,2025-01-25 00:00:00
End Time,2025-01-25 23:59:29.500000
Location,North Dairy Ave & Shelbourne St
Latitude and Longitude,"48.448141,-123.333267"
,
AM Peak (WKND),10 AM - 11 AM (0.936)
Midday Peak (WKND),1 PM - 2 PM (0.954)
PM Peak (WKND) (Overall Peak Hour),2 PM - 3 PM (0.966)
