Movement,Peds CW,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Peds CCW,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Start Time,Motorcycles,Lights,Single-Unit Trucks,Articulated Trucks,Buses,Pedestrians,Bicycles on Road,Bicycles on Crosswalk,Motorcycles,Lights,Single-Unit Trucks,Articulated Trucks,Buses,Pedestrians,Bicycles on Road,Bicycles on Crosswalk
2025-02-13 07:00:00,0,0,0,0,0,26,0,0,0,0,0,0,0,25,0,1
2025-02-13 08:00:00,0,0,0,0,0,41,0,0,0,0,0,0,0,63,0,1
2025-02-13 11:00:00,0,0,0,0,0,36,0,0,0,0,0,0,0,33,0,0
2025-02-13 12:00:00,0,0,0,0,0,67,0,1,0,0,0,0,0,85,0,0
2025-02-13 13:00:00,0,0,0,0,0,34,0,1,0,0,0,0,0,35,0,0
2025-02-13 16:00:00,0,0,0,0,0,59,0,0,0,0,0,0,0,78,0,1
2025-02-13 17:00:00,0,0,0,0,0,61,0,1,0,0,0,0,0,75,0,0
